!\EXCLAMATION-POINT	%Ekskl@"meIS@n%pOInt
"CLOSE-QUOTE	"kloUz"kwoUt
"DOUBLE-QUOTE	"dVb@l"kwoUt
"END-OF-QUOTE	"End@v"kwoUt
"END-QUOTE	"End"kwoUt
"IN-QUOTES	"In"kwoUts
"QUOTE	"kwoUt
"UNQUOTE	"Vn"kwoUt
#HASH-MARK	"h{%mA:rk
#POUND-SIGN	"paUnd%saIn
#SHARP-SIGN	"SA:rp%saIn
%	pE`"sEnt
%PERCENT	pE`"sEnt
&	"{nd
&AMPERSAND	"{mpE`%s{nd
'ALLO	%A:"loU
'APOSTROPHE	@"pA:str@fi
'BOUT	"baUt
'CAUSE	k@z
'COURSE	"kOrs
'CUSE	"kju:z
'EM	@m
'END-INNER-QUOTE	"En"dInE`"kwoUt
'END-QUOTE	"End"kwoUt
'FRISCO	"frIskoU
'GAIN	"gEn
'INNER-QUOTE	"InE`"kwoUt
'KAY	"keI
'M	@m
'N	@n
'QUOTE	"kwoUt
'ROUND	"raUnd
'S	"Es
'SINGLE-QUOTE	"sINg@l"kwoUt
'TIL	"tIl
'TIS	"tIz
'TWAS	"twVz
(BEGIN-PARENS	bI"gInpE`"Enz
(IN-PARENTHESES	"InpE`"EnT@%si:z
(LEFT-PAREN	"lEftpE`"En
(OPEN-PARENTHESES	"oUp@npE`"EnT@%si:z
(PAREN	pE`"En
(PARENS	pE`"Enz
(PARENTHESES	pE`"EnT@%si:z
)CLOSE-PAREN	"kloUzpE`"En
)CLOSE-PARENTHESES	"kloUzpE`"EnT@%si:z
)END-PAREN	"EndpE`"En
)END-PARENS	"EndpE`"Enz
)END-PARENTHESES	"EndpE`"EnT@%si:z
)END-THE-PAREN	"EndD@pE`"En
)PAREN	pE`"En
)PARENS	pE`"Enz
)RIGHT-PAREN	"raIt%pEr@n
)UN-PARENTHESES	"VnpE`"EnT@"si:z
+	"plUs
+PLUS	"plUs
,COMMA	"kA:m@
-	"d{S
--DASH	"d{S
-DASH	"d{S
-HYPHEN	"haIf@n
...ELLIPSIS	%I"lIpsIs
.DECIMAL	"dEs@m@l
.DOT	"dA:t
.FULL-STOP	"fUl"stA:p
.PERIOD	"pIri:@d
.POINT	"pOInt
/	"sl{S
/SLASH	"sl{S
0	"zi:roU
1	"wVn
2	"tu:
2-D	"tu:%di:
2D	"tu:%di:
3	"Tri:
3-D	"Tri:%di:
3D	"Tri:%di:
4	"fOr
4-D	"fOr%di:
4D	"fOr%di:
5	"faIv
6	"sIks
7	"sEv@n
8	"eIt
9	"naIn
:COLON	"koUl@n
;SEMI-COLON	"sEmi:"koUl@n, "sEmI%koUl@n
?QUESTION-MARK	"kwEstS@n"mA:rk
A	@, "eI
A'S	"eIz
A.	"eI
A.'S	"eIz
A.S	"eIz
A42128	"eI"fOr"tu:"wVn"tu:"eIt
AA	%eI"eI
AAA	%trIp@"leI
AABERG	"A:bE`g
AACHEN	"A:k@n
AACHENER	"A:k@nE`
AAH	"A:
AAKER	"A:kE`
AALIYAH	%A:"li:%A:
AALSETH	"A:lsET
AAMODT	"A:m@t
AANCOR	"A:n%kOr
AARDEMA	A:r"dEm@
AARDVARK	"A:rd%vA:rk
AARDVARKS	"A:rd%vA:rks
AARGH	"A:rg
AARON	"Er@n
AARON'S	"Er@nz
AARONS	"Er@nz
AARONSON	"Er@ns@n, "A:r@ns@n
AARONSON'S	"Er@ns@nz, "A:r@ns@nz
AARTI	"A:r%ti:
AASE	"A:s
AASEN	"A:s@n
AB	"{b
ABA	%eI%bi:"eI
ABABA	@"bA:b@, "A:b@b@
ABACHA	"{b@k@
ABACK	@"b{k
ABACO	"{b@%koU
ABACUS	"{b@k@s
ABAD	@"bA:d
ABADAKA	@"b{d@k@
ABADI	@"b{di
ABADIE	@"b{di
ABAIR	@"bEr
ABALKIN	@"bA:lkIn
ABALONE	%{b@"loUni
ABALONES	%{b@"loUni:z
ABALOS	A:"bA:loUz
ABANDON	@"b{nd@n
ABANDONED	@"b{nd@nd
ABANDONING	@"b{nd@nIN
ABANDONMENT	@"b{nd@nm@nt
ABANDONMENTS	@"b{nd@nm@nts
ABANDONS	@"b{nd@nz
ABANTO	@"b{ntoU
ABARCA	@"bA:rk@
ABARE	A:"bA:ri
ABASCAL	"{b@sk@l
ABASH	@"b{S
ABASHED	@"b{St
ABASIA	@"beIZj@
ABATE	@"beIt
ABATED	@"beItId
ABATEMENT	@"beItm@nt
ABATEMENTS	@"beItm@nts
ABATES	@"beIts
ABATING	@"beItIN
ABBA	"{b@
ABBADO	@"bA:doU
ABBAS	@"bA:s
ABBASI	A:"bA:si
ABBATE	"A:beIt
ABBATIELLO	A:bA:ti:"EloU
ABBE	"{bi, {"beI
ABBENHAUS	"{b@n%haUs
ABBETT	@"bEt
ABBEVILLE	"{bvIl
ABBEY	"{bi
ABBEY'S	"{bi:z
ABBIE	"{bi
ABBITT	"{bIt
ABBOT	"{b@t
ABBOTSTOWN	"{b@t"staUn
ABBOTT	"{b@t
ABBOTT'S	"{b@ts
ABBOTTSTOWN	"{b@t"staUn
ABBOUD	@"bu:d, @"baUd
ABBREVIATE	@"bri:vi:%eIt
ABBREVIATED	@"bri:vi:%eItId
